,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,
"make money, earn a living",1,"稼ぐ
かせぐ",kasegu,,,,,,,,

"make, build, create",1,"作る
つくる",tsukuru,,,,,,,,

"match, fit",1,"合う
あう",au,,,,,,,,

"mature, ripen",1,"熟す
じゅくす",jukusu,,,,,,,,

"measure, plan, plot",1,,hakaru,,,,,,,,

meet,1,"会う
あう",au,,,,,,,,

"melt, dissolve, come untied",2,,tokeru,,,,,,,,

mess up,1,どじる,dojiru,,,,,,,,

mix,2,"混ぜる
まぜる",mazeru,,,,,,,,

move,1,"動く
うごく",ugoku,,,,,,,,

"move, operate",1,,ugokasu,,,,,,,,

muff lines,1,,tochiru,,,,,,,,

need,1,"要る
いる",iru,,,,,,,,

notify,2,"知らせる
しらせる",shiraseru,,,,,,,,

"occur, happen",1,"起こる
おこる",okoru,,,,,,,,

open,2,"開ける
あける",akeru,,,,,,,,

"open, become vacant",1,"開く
あく",aku,,,,,,,,

"open, hold (an event, party etc)",1,"開く
ひらく",hiraku,,,,,,,,

overflow,1,,minagiru,,,,,,,,

"overlook, let pass",1,"見逃す
みのがす",minogasu,,,,,,,,

"overthrow, knock down",1,"倒す
たおす",taosu,,,,,,,,

paint,1,"塗る
ぬる",nuru,,,,,,,,

"panic, be flustered",2,"慌てる
あわてる",awateru,,,,,,,,

"parody, twist",1,,mojiru,,,,,,,,

"part, separate from, be divided, divorced",2,"別れる
わかれる",wakareru,,,,,,,,

"pass by, drop in",1,,yogiru,,,,,,,,

"pass through, go by",2,"減る
へる",heru,,,,,,,,

"pass, exceed",2,"過ぎる
すぎる",sugiru,,,,,,,,

pay,1,払う,harau,,,,,,,,

perish,1,"滅びる
ほろびる",horobiru,,,,,,,,

"persuade, make advances (to a woman)",1,"口説く
くどく",kudoku,,,,,,,,

pester for,1,,sebiru,,,,,,,,

"photograph, copy, reflect",1,,utsusu,,,,,,,,

"pick up, find",1,"拾う
ひろう",hirou,,,,,,,,

"pick, dig out",1,,hojiru,,,,,,,,

"pick, play with",1,,seseru,,,,,,,,

"pile up, accumulate",1,,tsumoru,,,,,,,,

"pile up, repeat",2,"重ねる
かさねる",kasaneru,,,,,,,,

pinch,1,,tsumeru,,,,,,,,

pinch,1,,tsuneru,,,,,,,,

"plan, scheme",2,"企てる
くわだてる",kuwadateru,,,,,,,,

plant,2,,ueru,,,,,,,,

